Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,Cpu_Value,Cpu_Generation,Memory_Type,Gpu_Category
Lenovo,Notebook,35.6,1366x768,AMD E-Series E2-9000 2.2GHz,4GB,128gb ssd,amd radeon r2 graphics,Windows 10,2.2kg,5592176.092800001,2,other,1,Khác
HP,2 in 1 Convertible,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128gb ssd,nvidia geforce 940mx,Windows 10,1.63kg,11200375.6128,1,3,1,Card rời
MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256gb ssd +  1tb hdd,nvidia geforce gtx 1050,Windows 10,2.4kg,20734314.796800002,1,2,0,Card rời
Asus,Ultrabook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.1kg,18186589.872,1,1,1,Card onboard
HP,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,8GB,64gb flash storage,intel hd graphics 500,Chrome OS,1.4kg,7931596.464,1,other,0,Card onboard
LG,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512gb ssd,intel hd graphics 620,Windows 10,1.09kg,36837859.1328,1,2,1,Card onboard
Acer,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,16GB,256gb ssd,nvidia geforce gtx 1050 ti,Windows 10,2.5kg,20814431.932800002,1,1,1,Card rời
MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256gb ssd,nvidia geforce gtx 1050,Windows 10,2.2kg,15989778.002880001,1,1,1,Card rời
Asus,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,128gb ssd,intel hd graphics 500,Windows 10,1.86kg,6713815.9968,1,other,1,Card onboard
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,16GB,128gb ssd +  1tb hdd,nvidia geforce gtx 1060,Windows 10,3.21kg,32864049.187200002,1,1,0,Card rời
HP,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256gb ssd,amd radeon r5 520,Windows 10,2.5kg,11200375.6128,1,3,1,Khác
Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512gb ssd,intel uhd graphics 620,Windows 10,1.19kg,24019117.3728,1,2,1,Card onboard
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,16GB,256gb ssd +  1tb hdd,nvidia geforce gtx 1070,Windows 10,3.49kg,45085918.284,1,2,0,Card rời
HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500gb hdd,amd radeon 520,Windows 10,1.86kg,9816111.736992,1,1,2,Khác
Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1tb hdd,amd radeon r5 m430,Windows 10,2.2kg,8743503.520224001,1,3,2,Khác
HP,Notebook,17.3,IPS Panel Full HD 1920x1080,AMD A10-Series 9600P 2.4GHz,6GB,2tb hdd,amd radeon r7 m440,Windows 10,2.65kg,9117330.0768,2,other,2,Khác
Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,500gb hdd,intel hd graphics 510,Windows 10,2.1kg,5095449.8496,1,other,2,Card onboard
Acer,Notebook,14,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,32gb flash storage,intel hd graphics 510,Chrome OS,1.45kg,6008785.2,1,other,0,Card onboard
Lenovo,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256gb ssd,intel hd graphics 620,Windows 10,1.7kg,11200375.6128,1,1,1,Card onboard
HP,Workstation,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,500gb hdd,nvidia quadro m1200,Windows 10,3.14kg,30572538.863328002,1,2,2,Card rời
Lenovo,2 in 1 Convertible,14,Touchscreen 2560x1440,Intel Core i7 7500U 2.7GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.42kg,41500676.44800001,1,2,1,Card onboard
Toshiba,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.5kg,15590794.665600002,1,1,1,Card onboard
Acer,Netbook,11.6,1366x768,Intel Celeron Dual Core N3050 1.6GHz,4GB,32gb flash storage,intel hd graphics,Windows 10,1.4kg,4310301.9168,1,other,0,Card onboard
Lenovo,2 in 1 Convertible,14,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512gb ssd,intel hd graphics 620,Windows 10,1.38kg,28024974.1728,1,2,1,Card onboard
Asus,2 in 1 Convertible,12.5,Full HD / Touchscreen 1920x1080,Intel Core M M3-6Y30 0.9GHz,4GB,64gb flash storage,intel hd graphics 515,Chrome OS,1.2kg,10719672.7968,1,other,0,Card onboard
Toshiba,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,512gb ssd,intel hd graphics 520,Windows 10,1.36kg,30075972.8544,1,2,1,Card onboard
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,1tb hdd,nvidia geforce gtx 1050,Windows 10,2.56kg,13123186.8768,1,1,2,Card rời
Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9420 2.9GHz,4GB,256gb ssd,amd radeon 530,Windows 10,2.2kg,6393347.4528,2,other,1,Khác
Lenovo,Notebook,15.6,1366x768,AMD A12-Series 9720P 3.6GHz,8GB,1tb hdd,amd radeon r7,Windows 10,2.2kg,6874050.2688,2,other,2,Khác
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1tb hdd +  1tb hdd,intel hd graphics 620,Windows 10,2.1kg,9957758.83344,1,1,2,Card onboard
Lenovo,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500gb hdd,intel hd graphics 520,No OS,1.90kg,7210542.24,1,3,2,Card onboard
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,2.18kg,12738624.624,1,1,1,Card onboard
Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,1GB,256gb ssd,intel uhd graphics 620,Windows 10,1.6kg,16007403.7728,1,1,1,Card onboard
Lenovo,Workstation,15.6,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,512gb ssd,nvidia quadro m520m,Windows 7,2.18kg,29723457.456,1,2,1,Card rời
Lenovo,Notebook,14,Full HD 1920x1080,Intel Core i5 6300HQ 2.3GHz,8GB,256gb ssd,intel hd graphics 520,Windows 10,1.8kg,19083901.7952,1,1,1,Card onboard
HP,Notebook,17.3,IPS Panel Full HD 1920x1080,AMD A10-Series 9620P 2.5GHz,6GB,2tb hdd,amd radeon 530,Windows 10,2.71kg,10495505.050272001,2,other,2,Khác
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128gb ssd +  1tb hdd,nvidia geforce gtx 1050 ti,Windows 10,2.5kg,20013260.5728,1,2,0,Card rời
Dell,Notebook,14,Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,8GB,256gb ssd,nvidia geforce 930mx,Linux,1.64kg,17449512.2208,1,1,1,Card rời
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1tb hdd,intel hd graphics 620,Linux,1.98kg,11633008.1472,1,1,2,Card onboard
Asus,Notebook,14,Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4GB,32gb flash storage,intel hd graphics 500,Windows 10,1.5kg,4774981.305600001,1,other,0,Card onboard
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,16GB,512gb ssd,intel hd graphics 620,Windows 10,1.93kg,22859982.649152,1,1,1,Card onboard
Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,nvidia geforce 920mx,Windows 10,1.87kg,13733198.750304,1,1,1,Card rời
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.9kg,18891620.6688,1,1,1,Card onboard
Lenovo,Notebook,15.6,1366x768,AMD A6-Series 7310 2GHz,4GB,500gb hdd,amd radeon r4,Windows 10,2.19kg,4774981.305600001,2,other,2,Khác
Mediacom,Notebook,14,IPS Panel Full HD 1920x1200,Intel Atom Z8350 1.92GHz,4GB,32gb hdd,intel hd graphics 400,Windows 10,1.4kg,4246208.208000001,1,other,2,Card onboard
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256gb ssd,nvidia geforce 930mx,Windows 10,2.63kg,19228112.64,1,2,1,Card rời
Lenovo,Ultrabook,14,IPS Panel Quad HD+ 2560x1440,Intel Core i7 6500U 2.5GHz,64GB,512gb ssd,intel hd graphics 520,Windows 10,1.17kg,27025753.252608,1,2,1,Card onboard
HP,2 in 1 Convertible,13.3,IPS Panel Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.58kg,13405199.19552,1,1,1,Card onboard
Lenovo,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.32kg,24019117.3728,1,1,1,Card onboard
Dell,Gaming,17.3,4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,32GB,1tb ssd +  1tb hdd,nvidia geforce gtx 1070,Windows 10,4.36kg,28826145.5328,1,2,0,Card rời
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128gb ssd +  1tb hdd,nvidia geforce gtx 1050 ti,Windows 10,2.7kg,21607271.110656,1,2,0,Card rời
Lenovo,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,1tb hdd,intel hd graphics 620,No OS,1.9kg,7849876.98528,1,1,2,Card onboard
Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,1tb hdd,intel hd graphics 620,Windows 10,1.71kg,10399204.2528,1,3,2,Card onboard
Dell,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,1tb hdd,amd radeon r7 m445,Linux,2.32kg,9446130.802944,1,1,2,Khác
HP,Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4GB,1tb hdd,amd radeon 520,Windows 10,2.1kg,7835455.9008,2,other,2,Khác
Acer,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,16GB,128gb ssd +  1tb hdd,nvidia geforce gtx 1060,Windows 10,4.2kg,31005331.632000003,1,2,0,Card rời
Dell,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,12GB,1tb hdd,intel hd graphics 620,Windows 10,2.25kg,10399204.2528,1,1,2,Card onboard
HP,Notebook,15.6,Full HD 1920x1080,AMD A9-Series A9-9420 3GHz,6GB,128gb ssd +  1tb hdd,amd radeon 520,Windows 10,2.1kg,10415227.68,2,other,0,Khác
Acer,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500gb hdd,intel hd graphics 620,Windows 10,2.4kg,8957095.8048,1,1,2,Card onboard
Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.44kg,15382490.112000002,1,1,1,Card onboard
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,4GB,1tb hdd,intel hd graphics 620,Windows 10,1.85kg,12482249.788800001,1,2,2,Card onboard
HP,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256gb ssd,nvidia quadro m2200,Windows 10,2.6kg,38760670.396800004,1,2,1,Card rời
Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1tb hdd,intel uhd graphics 620,Windows 10,1.55kg,10559438.524799999,1,1,2,Card onboard
MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256gb ssd +  1tb hdd,nvidia geforce gtx 1060,Windows 10,1.8kg,33560747.801856,1,2,0,Card rời
Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500gb hdd,intel hd graphics 520,Windows 10,2.4kg,6582423.89376,1,3,2,Card onboard
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,128gb ssd +  1tb hdd,nvidia geforce 940mx,Windows 10,2.0kg,19340276.630400002,1,2,0,Card rời
Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,8GB,256gb ssd,intel hd graphics 520,Windows 10,2kg,10655579.088,1,3,1,Card onboard
Toshiba,Notebook,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.25kg,24595960.752,1,1,1,Card onboard
Lenovo,2 in 1 Convertible,14,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.7kg,16007403.7728,1,1,1,Card onboard
Lenovo,Workstation,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7600U 2.8GHz,16GB,1tb ssd,nvidia quadro m520m,Windows 10,2.5kg,20814431.932800002,1,2,1,Card rời
Acer,Notebook,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,2GB,32gb flash storage,intel hd graphics 400,Chrome OS,1.68kg,5287730.976000001,1,other,0,Card onboard
Samsung,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,256gb ssd,intel hd graphics 620,Windows 10,0.81kg,26422631.452800002,1,2,1,Card onboard
Dell,Notebook,14,1366x768,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.6kg,18053755.660512,1,1,1,Card onboard
HP,Workstation,17.3,IPS Panel Full HD 1920x1080,Intel Xeon E3-1535M v5 2.9GHz,16GB,256gb ssd,nvidia quadro m2000m,Windows 7,3kg,24019117.3728,1,other,1,Card rời
Lenovo,Netbook,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128gb ssd,intel hd graphics 400,Windows 10,1.4kg,7611127.92,1,other,1,Card onboard
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6300U 2.4GHz,8GB,256gb ssd,intel hd graphics 520,Windows 10,1.84kg,30444511.68,1,1,1,Card onboard
Asus,Notebook,15.6,1366x768,Intel Core i5 6300HQ 2.3GHz,4GB,1tb hdd,nvidia geforce gtx 950m,No OS,2.45kg,9277564.3488,1,1,2,Card rời
Asus,Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,4GB,256gb ssd,intel hd graphics 620,Windows 10,2.37kg,13618310.77728,1,2,1,Card onboard
Lenovo,2 in 1 Convertible,13.3,IPS Panel Quad HD+ / Touchscreen 3200x1800,Intel Core i5 6260U 1.8GHz,8GB,256gb ssd,intel hd graphics 540,Windows 10,1.3kg,19212089.2128,1,1,1,Card onboard
HP,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,Windows 10,2.2kg,17609746.4928,1,1,0,Card rời
HP,Workstation,15.6,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,8GB,256gb ssd,nvidia quadro m1000m,Windows 7,2.59kg,25012569.8592,1,2,1,Card rời
Dell,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,256gb ssd +  1tb hdd,nvidia geforce gtx 1070,Windows 10,4.42kg,28826145.5328,1,2,0,Card rời
Acer,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,256gb ssd,intel hd graphics 620,Windows 10,2.1kg,9598032.892800001,1,1,1,Card onboard
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,Windows 10,2.5kg,16792551.7056,1,2,0,Card rời
Dell,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,16GB,256gb ssd,intel hd graphics 620,Windows 10,1.18kg,29787551.164800003,1,2,1,Card onboard
Google,Ultrabook,12.3,Touchscreen 2400x1600,Intel Core i5 7Y57 1.2GHz,8GB,256gb ssd,intel hd graphics 615,Chrome OS,1.1kg,24980523.004800003,1,1,1,Card onboard
Asus,Ultrabook,13.3,IPS Panel Quad HD+ 3200x1800,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.2kg,18090449.3088,1,1,1,Card onboard
Dell,Notebook,13.3,1366x768,Intel Core i3 6006U 2GHz,4GB,500gb hdd,intel hd graphics 520,Windows 10,1.65kg,13603889.6928,1,3,2,Card onboard
Acer,Notebook,13.3,1366x768,Intel Core i5 6200U 2.3GHz,4GB,128gb ssd,intel hd graphics 520,Windows 10,1.6kg,10495344.816000002,1,1,1,Card onboard
Asus,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1tb hdd,nvidia geforce 920mx,Windows 10,2.8kg,7536458.749248,1,other,2,Card rời
Dell,Gaming,15.6,IPS Panel Touchscreen / 4K Ultra HD 3840x2160,Intel Core i7 6700HQ 2.6GHz,16GB,128gb ssd +  1tb hdd,nvidia geforce gtx 960m,Windows 10,2.72kg,17609746.4928,1,2,0,Card rời
Samsung,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.31kg,25621460.092800003,1,2,1,Card onboard
Acer,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1tb hdd,intel hd graphics 505,Linux,2.1kg,4774981.305600001,1,other,2,Card onboard
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,?,amd radeon r7 m445,Windows 10,2.3kg,18927993.848544,1,2,0,Khác
Samsung,2 in 1 Convertible,15,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,256gb ssd,amd radeon 540,Windows 10,1.71kg,28826145.5328,1,2,1,Khác
Toshiba,Notebook,14,IPS Panel 1366x768,Intel Core i5 6200U 2.3GHz,4GB,128gb ssd,intel hd graphics 520,Windows 10,1.75kg,16343895.744,1,1,1,Card onboard
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1tb hdd,nvidia geforce gtx 1050,Windows 10,2.62kg,17609746.4928,1,2,2,Card rời
Asus,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12GB,2tb hdd,nvidia geforce 940mx,Windows 10,2.3kg,13443655.4208,1,2,2,Card rời
Lenovo,Notebook,15.6,4K Ultra HD 3840x2160,Intel Core i7 6820HQ 2.7GHz,16GB,512gb ssd,nvidia quadro m2000m,Windows 7,2.5kg,37975522.464,1,2,1,Card rời
Acer,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128gb ssd,intel hd graphics 620,Windows 10,1.8kg,10190899.6992,1,3,1,Card onboard
Razer,Gaming,14,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512gb ssd,nvidia geforce gtx 1060,Windows 10,1.95kg,28826145.5328,1,2,1,Card rời
Asus,Notebook,15.6,1920x1080,Intel Pentium Dual Core N4200 1.1GHz,8GB,128gb ssd,intel hd graphics 505,Windows 10,2kg,9324032.28768,1,other,1,Card onboard
Dell,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,32GB,1tb ssd +  1tb hdd,nvidia geforce gtx 1070m,Windows 10,4.42kg,24019117.3728,1,2,0,Card rời
Asus,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,16GB,256gb ssd +  1tb hdd,nvidia geforce gtx 1070,Windows 10,4.3kg,37655053.92,1,2,0,Card rời
Toshiba,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,16GB,512gb ssd,nvidia geforce 930m,Windows 10,1.47kg,28265325.5808,1,2,1,Card rời
Lenovo,Notebook,15.6,1366x768,Intel Celeron Quad Core N3710 1.6GHz,8GB,1tb hdd,intel hd graphics 405,No OS,2.2kg,5271707.5488,1,other,2,Card onboard
Lenovo,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512gb ssd,intel hd graphics 620,Windows 10,1.7kg,36837859.1328,1,2,1,Card onboard
MSI,Gaming,14,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256gb ssd +  1tb hdd,nvidia geforce gtx 1060,Windows 10,1.6kg,30300300.8352,1,2,0,Card rời
MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,Windows 10,2.2kg,17449512.2208,1,1,0,Card rời
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,4GB,1tb hdd,nvidia geforce gtx 1050,Windows 10,2.4kg,16007403.7728,1,2,2,Card rời
Acer,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256gb ssd +  1tb hdd,nvidia geforce gtx 1060,Windows 10,4.2kg,36837859.1328,1,2,0,Card rời
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256gb ssd,nvidia geforce gtx 1050,Windows 10,2.62kg,15783075.792000001,1,1,1,Card rời
Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128gb ssd +  1tb hdd,nvidia geforce gtx1060,Windows 10,2.24kg,21455369.020800002,1,2,0,Card rời
Vero,Notebook,14,1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4GB,32gb flash storage,intel hd graphics 500,Windows 10,1.22kg,3251153.37888,1,other,0,Card onboard
Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512gb ssd,intel hd graphics 620,Windows 10,1.37kg,31566151.584000003,1,2,1,Card onboard
Lenovo,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,amd radeon r7 m460,Windows 10,2.08kg,15366466.684799999,1,1,1,Khác
Apple,Ultrabook,12,IPS Panel Retina Display 2304x1440,Intel Core M 1.2GHz,8GB,512gb flash storage,intel hd graphics 5300,Mac OS X,0.920kg,18667292.688,1,other,0,Card onboard
Lenovo,2 in 1 Convertible,14,IPS Panel Touchscreen 2560x1440,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.42kg,37334585.376,1,1,1,Card onboard
Asus,Notebook,14,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,32gb flash storage,intel hd graphics 500,Windows 10,1.63kg,4791004.7328,1,other,0,Card onboard
Dell,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,128gb ssd,intel hd graphics 620,Windows 10,1.95kg,12978976.032000002,1,1,1,Card onboard
Lenovo,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.38kg,21615603.2928,1,2,1,Card onboard
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,8GB,256gb ssd,amd radeon r5 m420x,Windows 10,2kg,11841312.7008,1,3,1,Khác
HP,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256gb ssd,nvidia quadro m2200,Windows 10,3.14kg,33086774.825280003,1,2,1,Card rời
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,2.37kg,17609746.4928,1,1,1,Card onboard
Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.29kg,24019117.3728,1,1,1,Card onboard
Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i5 7300HQ 2.5GHz,8GB,256gb ssd,nvidia geforce gtx 1050,Windows 10,2.06kg,28024974.1728,1,1,1,Card rời
Dell,Netbook,11.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,128gb ssd,intel hd graphics 505,Windows 10,1.63kg,11921429.8368,1,other,1,Card onboard
HP,Netbook,12.5,1366x768,Intel Core i5 7300U 2.6GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.26kg,22256540.3808,1,1,1,Card onboard
Toshiba,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4GB,500gb hdd,intel hd graphics 520,Windows 10,2.1kg,12498273.216,1,1,2,Card onboard
HP,Notebook,15.6,1366x768,AMD A12-Series 9700P 2.5GHz,8GB,2tb hdd,amd radeon r7 graphics,Windows 10,2.04kg,10078735.708800001,2,other,2,Khác
Dell,Gaming,15.6,4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,512gb ssd,nvidia geforce gtx 1050 ti,Windows 10,2.62kg,26903334.268799998,1,2,1,Card rời
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1tb hdd,nvidia geforce 920m,Windows 10,2.4kg,9758267.164800001,1,1,2,Card rời
HP,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,1tb hdd,amd radeon rx 580,Windows 10,3.74kg,28024974.1728,1,2,2,Khác
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512gb ssd +  1tb hdd,nvidia geforce gtx 1070,Windows 10,2.9kg,38696576.688,1,2,0,Card rời
Samsung,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,0.81kg,24019117.3728,1,1,1,Card onboard
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1tb hdd,nvidia geforce gt 940mx,Windows 10,1.98kg,15398513.5392,1,2,2,Card rời
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,amd radeon r5 m420,Windows 10,2.18kg,12655463.036832001,1,1,1,Khác
Lenovo,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.32kg,29787551.164800003,1,2,1,Card onboard
